level	file	index	law_id	law	article	missing_numbers	question	correct_option
B	batch12_g2	33	ENV-175	指定公營事業設置廢棄物清除處理設施管理辦法	第14條	1	指定公營事業設置廢棄物清除處理設施管理辦法所定之相關文書格式，由何機關訂定？	由中央主管機關定之，俾指定文件、契約副知及營運紀錄申報有一致之格式標準
B	batch12_g3	22	ENV-178	廢容器回收貯存清除處理方法及設施標準	第13條	6	廢容器回收貯存清除處理方法及設施標準之施行日期如何規定？	自發布日施行，另於第十二條就修正施行前已從事回收處理之業者定有六個月改善期
B	batch12_g3	44	ENV-181	廢鉛蓄電池回收貯存清除處理方法及設施標準	第8條	6	廢鉛蓄電池回收貯存清除處理方法及設施標準之施行日期如何規定？	自發布日施行，另於第七條就修正前已從事回收處理之業者定有六個月改善期間
B	batch12_g4	10	ENV-180	廢照明光源回收貯存清除處理方法及設施標準	第8條	2	廢照明光源之處理，關於合併處理及設備共用有何限制？	應回收之廢照明光源不得與其他非屬公告應回收之廢照明光源合併處理；發光二極體廢照明光源不得與含汞廢照明光源共用處理設備
B	batch12_g4	43	ENV-183	廢輪胎回收貯存清除處理方法及設施標準	第9條	6	廢輪胎回收貯存清除處理方法及設施標準之施行日期如何規定？	自發布日施行，另於第八條就修正施行前已從事回收處理之業者定有六個月改善期
B	batch12_i2	14	ENV-192	病媒防治業管理辦法	第13條	1;2;107	病媒防治業管理辦法之施行日期為何？	本辦法自發布日施行，其中施作紀錄按月申報規定另定自一百零七年二月一日適用
B	batch13_a1	32	ENV-28	空氣品質標準	第3條	8;24	依本標準所定各項空氣污染物之空氣品質標準，懸浮微粒、細懸浮微粒及臭氧分別以何種平	懸浮微粒為日平均值及年平均值；細懸浮微粒為二十四小時值及年平均值；臭氧為小時平均值及八小時平均值
B	batch13_b1	35	ENV-49	飲用水管理條例	第24條之3	1	本條例所稱按日連續處罰，其起算日、暫停日、停止日及改善完成認定查驗事項由何者規範	由中央主管機關另定辦法統一規範之，不由地方各自認定
B	batch13_b2	16	ENV-52	廢棄物清理法施行細則	第19條	1	本法及本細則所定之告發單、處分書及移送書或其他書表格式，除另有規定外由何機關訂定	由中央主管機關統一訂定其格式，以利各級機關一致適用
B	batch13_c1	5	ENV-63	環境影響評估法施行細則	第5條	10	本細則所定縣（市）主管機關之權限，與直轄市主管機關相較，下列敘述何者正確？	縣（市）權限共八款，未列環評專業人員訓練及管理；直轄市則為十款並含該事項
B	batch13_c2	0	ENV-63	環境影響評估法施行細則	第27條	10	環境影響評估法施行細則第二十七條之現行狀態，及公聽會通知期限規定之所在條文為何？	第二十七條已刪除；公聽會應於十日前通知主管機關、委員、有關機關、專家學者、團體及當地居民
B	batch13_c2	5	ENV-63	環境影響評估法施行細則	第31條	5;15	環境影響評估法施行細則第三十一條之現行狀態，及審查結論公告方式規定之所在條文為何	第三十一條已刪除；公告依第三十條應陳列或揭示至少十五日，或刊載新聞紙連續五日以上
B	batch13_c2	17	ENV-63	環境影響評估法施行細則	第38條之1	10	環境影響評估法施行細則第三十八條之一之現行狀態，及應重新辦理環評情形規定之所在條	第三十八條之一已刪除；應重新辦理之情形依第三十八條，含產能規模擴增或路線延伸百分之十以上者
B	batch13_c2	25	ENV-63	環境影響評估法施行細則	第44條	5	環境影響評估法施行細則第四十四條之現行狀態，及審查結論分類規定之所在條文為何？	第四十四條已刪除；審查結論之五款分類規定於第四十三條，內容並應涵括綜合評述之部分
B	batch13_c2	27	ENV-63	環境影響評估法施行細則	第46條	11	環境影響評估法施行細則第四十六條之現行狀態，及本法第二十八條書面報告記載事項規定	第四十六條已刪除；書面報告之十一款記載事項規定於第四十九條，含環境現況及替代方案等款
B	batch13_d2	31	ENV-84	氣候變遷因應法施行細則	第21條	1	中央目的事業主管機關依本法第十一條或第十九條召開公聽會時，方案初稿內容及開會資訊	應於會議舉行十日前公開周知，並將會議紀錄一併公開之
B	batch13_d2	32	ENV-84	氣候變遷因應法施行細則	第22條	1	直轄市、縣（市）主管機關舉辦座談會或以其他適當方法廣詢意見時，初稿內容及開會資訊	應於舉辦七日前公開周知，並將廣詢方法及紀錄一併公開之
